time,sv,SVclockBias,SVclockDrift,SVclockDriftRate,IODEC,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,BDTWeek,URA,health,TGD,TransTime
2021-06-24 00:00:00,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:00:00,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:00:00,I05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:00:00,I09,0.0007623047567904,-2.773958840407e-11,0.0,0.0,206.0625,3.171560679661e-09,0.7512157000178,6.549060344696e-06,0.001829810556956,2.816319465637e-05,6493.503732681,345600.0,5.215406417847e-08,-2.882886621674,2.756714820862e-07,0.5082782060675,-770.75,-3.120650200087,-2.738685505816e-09,1.361485282755e-09,2163.0,2.0,0.0,-1.862645e-09,345612.0
2021-06-24 00:05:36,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:05:36,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:05:36,I05,0.0006697187200189,2.874003257602e-10,0.0,161.0,-106.3125,2.841546933264e-09,2.026347762958,-3.617256879807e-06,0.001789698144421,2.773851156235e-05,6493.286027908,345936.0,-1.527369022369e-07,-3.108911306543,-5.587935447693e-08,0.5099614703307,-764.375,3.126472605265,-2.332954319769e-09,9.868268195838e-10,2163.0,2.0,0.0,-4.656613e-10,346332.0
2021-06-24 00:05:36,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:20:48,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:20:48,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:20:48,I05,0.0006699818186462,2.88309820462e-10,0.0,162.0,-107.5,2.842975564201e-09,2.094190071011,-3.676861524582e-06,0.001791047514416,2.780929207802e-05,6493.276996613,346848.0,-1.4528632164e-07,-3.108915468545,-5.960464477539e-08,0.5099628015862,-766.4375,3.125142028607,-2.335811581642e-09,9.839695577102e-10,2163.0,2.0,0.0,-4.656613e-10,347100.0
2021-06-24 00:20:48,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:36:00,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:36:00,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:36:00,I05,0.0006702477112412,2.900151230278e-10,0.0,163.0,-111.0,2.840118302327e-09,2.159698868195,-3.810971975327e-06,0.001790027599782,2.791732549667e-05,6493.283311844,347760.0,-1.415610313416e-07,-3.10891641359,-6.332993507385e-08,0.5099634174747,-769.8125,3.126142338342,-2.337240212579e-09,9.825409267734e-10,2163.0,2.0,0.0,-4.656613e-10,347964.0
2021-06-24 00:36:00,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:50:24,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:50:24,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:50:24,I05,0.0006704982370138,2.902424967033e-10,0.0,164.0,-116.9375,2.832975147643e-09,2.222166918469,-4.01958823204e-06,0.001789387664758,2.803280949593e-05,6493.286542892,348624.0,-1.415610313416e-07,-3.108918068151,-6.705522537231e-08,0.5099641474708,-773.75,3.126683442481,-2.335811581642e-09,9.821837690392e-10,2163.0,2.0,0.0,-4.656613e-10,348828.0
2021-06-24 00:50:24,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:05:36,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:05:36,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:05:36,I05,0.0006707622669637,2.893330020015e-10,0.0,165.0,-126.0625,2.818688838275e-09,2.288066718546,-4.328787326813e-06,0.001788521534763,2.814456820488e-05,6493.290313721,349536.0,-1.415610313416e-07,-3.108919964093,-7.450580596924e-08,0.5099649272062,-777.875,3.127293354972,-2.332954319769e-09,9.828980845076e-10,2163.0,2.0,0.0,-4.656613e-10,349740.0
2021-06-24 01:05:36,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:20:48,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:20:48,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:20:48,I05,0.0006710248999298,2.88309820462e-10,0.0,166.0,-138.4375,2.800116636097e-09,2.353972224003,-4.72366809845e-06,0.001787555753253,2.823024988174e-05,6493.294044495,350448.0,-1.415610313416e-07,-3.108921965364,-8.195638656616e-08,0.5099657318111,-781.25,3.127897491863,-2.331525688832e-09,9.846838731786e-10,2163.0,2.0,0.0,-4.656613e-10,350652.0
2021-06-24 01:20:48,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:36:00,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:36:00,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:36:00,I05,0.0006712866015732,2.871729520848e-10,0.0,167.0,-153.375,2.772972648298e-09,2.420325388245,-5.189329385757e-06,0.001787290908396,2.825632691383e-05,6493.294157028,351360.0,-1.378357410431e-07,-3.108924907293,-9.313225746155e-08,0.5099669533477,-782.9375,3.12805469704,-2.324382534148e-09,9.861125041154e-10,2163.0,2.0,0.0,-4.656613e-10,351564.0
2021-06-24 01:36:00,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:50:24,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:50:24,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:50:24,I05,0.0006715357303619,2.884235072997e-10,0.0,168.0,-169.5,2.742971398626e-09,2.483109776998,-5.681067705154e-06,0.001786964130588,2.821534872055e-05,6493.294561386,352224.0,-1.341104507446e-07,-3.108927451307,-1.080334186554e-07,0.5099680856463,-782.25,3.128279769912,-2.315810748527e-09,9.878982927864e-10,2163.0,2.0,0.0,-4.656613e-10,352476.0
2021-06-24 01:50:24,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:00:00,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:00:00,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:00:00,I05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:00:00,I09,0.0007621017284691,-2.796696207952e-11,0.0,1.0,149.6875,3.161560263104e-09,1.279911861032,4.570931196213e-06,0.001826856285334,2.638623118401e-05,6493.48604393,352800.0,-2.086162567139e-07,-2.882903889959,2.644956111908e-07,0.5082881202633,-714.8125,-3.124318786087,-2.624395030873e-09,1.261481117181e-09,2163.0,2.0,0.0,-1.862645e-09,352812.0
2021-06-24 02:05:36,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:05:36,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:05:36,I05,0.000671798363328,2.876276994357e-10,0.0,169.0,-187.75,2.70582699427e-09,2.548259146913,-6.228685379028e-06,0.001783659681678,2.80886888504e-05,6493.306446075,353136.0,-1.303851604462e-07,-3.108928400741,-1.229345798492e-07,0.5099682743627,-778.75,3.129638870547,-2.307238962907e-09,9.900412391915e-10,2163.0,2.0,0.0,-4.656613e-10,353340.0
2021-06-24 02:05:36,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:20:48,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:20:48,I04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:20:48,I05,0.0006720586679876,2.861497705453e-10,0.0,170.0,-206.375,2.66582532804e-09,2.614569193107,-6.780028343201e-06,0.001783094950952,2.787262201309e-05,6493.307096481,354048.0,-1.229345798492e-07,-3.108931206618,-1.378357410431e-07,0.5099695866003,-772.125,3.129838627622,-2.295809915412e-09,9.918270278625e-10,2163.0,2.0,0.0,-4.656613e-10,354252.0
2021-06-24 02:20:48,I09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:36:00,I02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:36:00,I04,,,,,,,,,,,,,,,,,,,,,,,,,
