index,satellite position,satellite velocity,satellite acceleration,time,sv
0.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G01
1.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G02
2.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G03
3.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G05
4.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G06
5.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G07
6.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G08
7.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G09
8.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G10
9.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G11
10.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G12
11.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G13
12.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G14
13.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G15
14.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G16
15.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G17
16.0,"[-769119.5344563969, -25756614.782528903, 4464375.196307775]","[403.06889158130497, -200.56695292379723, -3148.26119987241]","[-0.016199214097132333, 0.3783043770592537, -0.0995188047569607]",2020-03-05 12:00:00,G18
17.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G19
18.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G20
19.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G21
20.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G22
21.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G23
22.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G24
23.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G25
24.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G26
25.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G27
26.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G28
27.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G29
28.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G30
29.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G31
30.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2020-03-05 12:00:00,G32
31.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G01
32.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G02
33.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G03
34.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G05
35.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G06
36.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G07
37.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G08
38.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G09
39.0,"[19623653.602052335, 4866470.208199702, 17435074.880887095]","[-1996.1346341495664, 3147.5669312075916, 1950.7296613584276]","[0.15237578707002725, 0.21506912278651047, -0.36524877944686174]",2023-03-01 22:00:00,G10
40.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G11
41.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G12
42.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G13
43.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G14
44.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G15
45.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G16
46.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G17
47.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G18
48.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G19
