time,sv,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime
2021-06-24 01:59:44,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G27,-0.0001520831137896,-6.139089236967e-12,0.0,15.0,72.3125,4.336252050875e-09,2.080850228679,3.596767783165e-06,0.009450974990614,-1.415610313416e-07,5153.684047699,352784.0,-1.676380634308e-07,1.286603377064,-1.862645149231e-08,0.9755137728985,389.4375,0.6348804108489,-8.337132989339e-09,1.871506527187e-10,1.0,2163.0,0.0,2.0,0.0,1.862645e-09,15.0,352140.0
2021-06-24 01:59:44,G28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:59:44,G31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
