time,sv,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime
2020-03-05 12:00:00,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G18,5.652196705341e-06,1.591615728103e-12,0.0,47.0,-77.40625,4.806985944545e-09,0.5313197114844,-4.196539521217e-06,0.01570839330088,3.710389137268e-06,5153.635400772,388800.0,-1.862645149231e-07,-1.768535477436,-2.048909664154e-08,0.9574058050976,307.59375,1.45578683932,-8.739292598044e-09,-1.225051028293e-10,1.0,2095.0,0.0,2.0,63.0,-5.587935447693e-09,47.0,383760.0
2020-03-05 12:00:00,G19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05 12:00:00,G32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 22:00:00,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
