,0
0,"[nan, nan, nan]"
1,"[nan, nan, nan]"
2,"[nan, nan, nan]"
3,"[nan, nan, nan]"
4,"[nan, nan, nan]"
5,"[nan, nan, nan]"
6,"[nan, nan, nan]"
7,"[nan, nan, nan]"
8,"[nan, nan, nan]"
9,"[nan, nan, nan]"
10,"[nan, nan, nan]"
11,"[nan, nan, nan]"
12,"[nan, nan, nan]"
13,"[nan, nan, nan]"
14,"[nan, nan, nan]"
15,"[nan, nan, nan]"
16,"[-769119.5344563969, -25756614.782528903, 4464375.196307775]"
17,"[nan, nan, nan]"
18,"[nan, nan, nan]"
19,"[nan, nan, nan]"
20,"[nan, nan, nan]"
21,"[nan, nan, nan]"
22,"[nan, nan, nan]"
23,"[nan, nan, nan]"
24,"[nan, nan, nan]"
25,"[nan, nan, nan]"
26,"[nan, nan, nan]"
27,"[nan, nan, nan]"
28,"[nan, nan, nan]"
29,"[nan, nan, nan]"
30,"[nan, nan, nan]"
31,"[nan, nan, nan]"
32,"[nan, nan, nan]"
33,"[nan, nan, nan]"
34,"[nan, nan, nan]"
35,"[nan, nan, nan]"
36,"[nan, nan, nan]"
37,"[nan, nan, nan]"
38,"[nan, nan, nan]"
39,"[19623653.602052335, 4866470.208199702, 17435074.880887095]"
40,"[nan, nan, nan]"
41,"[nan, nan, nan]"
42,"[nan, nan, nan]"
43,"[nan, nan, nan]"
44,"[nan, nan, nan]"
45,"[nan, nan, nan]"
46,"[nan, nan, nan]"
47,"[nan, nan, nan]"
48,"[nan, nan, nan]"
49,"[nan, nan, nan]"
50,"[nan, nan, nan]"
51,"[nan, nan, nan]"
52,"[nan, nan, nan]"
53,"[nan, nan, nan]"
54,"[nan, nan, nan]"
55,"[nan, nan, nan]"
56,"[nan, nan, nan]"
57,"[nan, nan, nan]"
58,"[nan, nan, nan]"
59,"[nan, nan, nan]"
60,"[nan, nan, nan]"
61,"[nan, nan, nan]"
62,"[nan, nan, nan]"
63,"[nan, nan, nan]"
64,"[nan, nan, nan]"
65,"[nan, nan, nan]"
66,"[nan, nan, nan]"
67,"[nan, nan, nan]"
68,"[nan, nan, nan]"
69,"[nan, nan, nan]"
70,"[nan, nan, nan]"
71,"[nan, nan, nan]"
72,"[nan, nan, nan]"
73,"[nan, nan, nan]"
74,"[nan, nan, nan]"
75,"[nan, nan, nan]"
76,"[nan, nan, nan]"
77,"[nan, nan, nan]"
78,"[nan, nan, nan]"
79,"[nan, nan, nan]"
80,"[nan, nan, nan]"
81,"[nan, nan, nan]"
82,"[nan, nan, nan]"
83,"[nan, nan, nan]"
84,"[nan, nan, nan]"
85,"[nan, nan, nan]"
86,"[nan, nan, nan]"
87,"[nan, nan, nan]"
88,"[nan, nan, nan]"
89,"[nan, nan, nan]"
90,"[nan, nan, nan]"
91,"[nan, nan, nan]"
92,"[19346262.588893667, 12336932.428860176, 13651157.698487]"
93,"[nan, nan, nan]"
94,"[nan, nan, nan]"
95,"[nan, nan, nan]"
96,"[nan, nan, nan]"
97,"[nan, nan, nan]"
98,"[nan, nan, nan]"
99,"[nan, nan, nan]"
100,"[nan, nan, nan]"
101,"[nan, nan, nan]"
102,"[nan, nan, nan]"
103,"[nan, nan, nan]"
104,"[nan, nan, nan]"
105,"[nan, nan, nan]"
106,"[nan, nan, nan]"
107,"[nan, nan, nan]"
108,"[nan, nan, nan]"
109,"[nan, nan, nan]"
110,"[nan, nan, nan]"
111,"[nan, nan, nan]"
112,"[nan, nan, nan]"
113,"[nan, nan, nan]"
114,"[nan, nan, nan]"
115,"[nan, nan, nan]"
116,"[nan, nan, nan]"
117,"[nan, nan, nan]"
118,"[nan, nan, nan]"
119,"[nan, nan, nan]"
120,"[nan, nan, nan]"
121,"[nan, nan, nan]"
122,"[-3455324.4842442814, -17866651.962365367, -19172297.78010942]"
123,"[nan, nan, nan]"
124,"[-17065353.300366253, 3256414.1865030974, -20267353.10562185]"
125,"[nan, nan, nan]"
126,"[nan, nan, nan]"
127,"[nan, nan, nan]"
128,"[nan, nan, nan]"
129,"[nan, nan, nan]"
130,"[nan, nan, nan]"
131,"[nan, nan, nan]"
132,"[nan, nan, nan]"
133,"[nan, nan, nan]"
134,"[12790892.104481228, -19684217.72655764, -11993978.02984653]"
135,"[nan, nan, nan]"
136,"[nan, nan, nan]"
137,"[nan, nan, nan]"
138,"[nan, nan, nan]"
139,"[nan, nan, nan]"
140,"[nan, nan, nan]"
141,"[25429842.41461047, -6759591.764481987, -474923.1810698376]"
142,"[nan, nan, nan]"
143,"[-5996101.424262515, -19054007.42582299, 18060023.30379773]"
144,"[21220624.660853326, 4918458.650677783, 15644188.316240195]"
145,"[nan, nan, nan]"
146,"[nan, nan, nan]"
147,"[10131926.50469097, -22082473.162651263, -10065702.350558946]"
148,"[nan, nan, nan]"
149,"[nan, nan, nan]"
150,"[-22809736.58327159, -12755857.152570631, 4594608.703589411]"
151,"[nan, nan, nan]"
152,"[nan, nan, nan]"
153,"[nan, nan, nan]"
154,"[nan, nan, nan]"
155,"[nan, nan, nan]"
156,"[nan, nan, nan]"
157,"[-16212851.200506065, -2540663.4014796745, -20931674.197637837]"
158,"[nan, nan, nan]"
159,"[nan, nan, nan]"
160,"[nan, nan, nan]"
161,"[nan, nan, nan]"
162,"[nan, nan, nan]"
163,"[nan, nan, nan]"
164,"[nan, nan, nan]"
165,"[nan, nan, nan]"
166,"[nan, nan, nan]"
167,"[nan, nan, nan]"
168,"[nan, nan, nan]"
169,"[nan, nan, nan]"
170,"[nan, nan, nan]"
171,"[nan, nan, nan]"
172,"[nan, nan, nan]"
173,"[nan, nan, nan]"
174,"[nan, nan, nan]"
175,"[nan, nan, nan]"
176,"[nan, nan, nan]"
177,"[nan, nan, nan]"
178,"[nan, nan, nan]"
179,"[1568182.454000635, -21898249.274468355, -14676529.002896702]"
180,"[nan, nan, nan]"
181,"[nan, nan, nan]"
182,"[888662.6475839093, -19189114.77985201, 18292565.11677115]"
183,"[nan, nan, nan]"
184,"[nan, nan, nan]"
185,"[nan, nan, nan]"
186,"[nan, nan, nan]"
187,"[nan, nan, nan]"
188,"[nan, nan, nan]"
189,"[nan, nan, nan]"
190,"[-14793597.197843488, -8584974.311998246, 20359290.98123332]"
191,"[nan, nan, nan]"
192,"[nan, nan, nan]"
193,"[nan, nan, nan]"
194,"[nan, nan, nan]"
195,"[nan, nan, nan]"
196,"[nan, nan, nan]"
197,"[nan, nan, nan]"
198,"[nan, nan, nan]"
199,"[nan, nan, nan]"
200,"[nan, nan, nan]"
201,"[nan, nan, nan]"
202,"[nan, nan, nan]"
203,"[nan, nan, nan]"
204,"[nan, nan, nan]"
205,"[nan, nan, nan]"
206,"[nan, nan, nan]"
207,"[nan, nan, nan]"
208,"[nan, nan, nan]"
209,"[nan, nan, nan]"
210,"[nan, nan, nan]"
211,"[nan, nan, nan]"
212,"[nan, nan, nan]"
213,"[nan, nan, nan]"
214,"[nan, nan, nan]"
215,"[nan, nan, nan]"
216,"[nan, nan, nan]"
217,"[nan, nan, nan]"
218,"[nan, nan, nan]"
219,"[nan, nan, nan]"
220,"[nan, nan, nan]"
221,"[nan, nan, nan]"
222,"[nan, nan, nan]"
223,"[nan, nan, nan]"
224,"[nan, nan, nan]"
225,"[nan, nan, nan]"
226,"[nan, nan, nan]"
227,"[nan, nan, nan]"
228,"[nan, nan, nan]"
229,"[nan, nan, nan]"
230,"[nan, nan, nan]"
231,"[-4928954.60062746, -20084848.954767205, -16283071.757822234]"
232,"[nan, nan, nan]"
233,"[nan, nan, nan]"
234,"[nan, nan, nan]"
235,"[nan, nan, nan]"
236,"[nan, nan, nan]"
237,"[nan, nan, nan]"
238,"[nan, nan, nan]"
239,"[nan, nan, nan]"
240,"[nan, nan, nan]"
241,"[nan, nan, nan]"
242,"[nan, nan, nan]"
243,"[nan, nan, nan]"
244,"[nan, nan, nan]"
245,"[nan, nan, nan]"
246,"[nan, nan, nan]"
247,"[nan, nan, nan]"
248,"[nan, nan, nan]"
249,"[nan, nan, nan]"
250,"[nan, nan, nan]"
251,"[nan, nan, nan]"
252,"[nan, nan, nan]"
253,"[nan, nan, nan]"
254,"[nan, nan, nan]"
255,"[-8317205.257999869, 23981183.853519168, -7612151.16379024]"
256,"[nan, nan, nan]"
257,"[15159900.177066501, -16022552.31354396, 14769787.502775399]"
258,"[nan, nan, nan]"
259,"[nan, nan, nan]"
260,"[nan, nan, nan]"
261,"[nan, nan, nan]"
262,"[nan, nan, nan]"
263,"[nan, nan, nan]"
264,"[nan, nan, nan]"
265,"[nan, nan, nan]"
266,"[nan, nan, nan]"
267,"[nan, nan, nan]"
268,"[nan, nan, nan]"
269,"[nan, nan, nan]"
270,"[nan, nan, nan]"
271,"[nan, nan, nan]"
272,"[nan, nan, nan]"
273,"[4038552.5427900217, -25936390.753035106, -677118.1998939973]"
274,"[nan, nan, nan]"
275,"[nan, nan, nan]"
276,"[nan, nan, nan]"
277,"[nan, nan, nan]"
278,"[nan, nan, nan]"
279,"[nan, nan, nan]"
280,"[nan, nan, nan]"
281,"[nan, nan, nan]"
282,"[1853601.160613094, 15252092.40740621, -21639943.615639426]"
283,"[nan, nan, nan]"
284,"[nan, nan, nan]"
285,"[nan, nan, nan]"
286,"[nan, nan, nan]"
287,"[nan, nan, nan]"
288,"[nan, nan, nan]"
289,"[nan, nan, nan]"
290,"[nan, nan, nan]"
291,"[nan, nan, nan]"
292,"[nan, nan, nan]"
293,"[nan, nan, nan]"
294,"[nan, nan, nan]"
295,"[nan, nan, nan]"
296,"[nan, nan, nan]"
297,"[nan, nan, nan]"
298,"[nan, nan, nan]"
299,"[nan, nan, nan]"
300,"[nan, nan, nan]"
301,"[nan, nan, nan]"
302,"[nan, nan, nan]"
303,"[nan, nan, nan]"
304,"[nan, nan, nan]"
305,"[nan, nan, nan]"
306,"[nan, nan, nan]"
307,"[nan, nan, nan]"
308,"[nan, nan, nan]"
309,"[nan, nan, nan]"
310,"[nan, nan, nan]"
311,"[-18937852.147301085, 6140426.311806154, 18031373.40845183]"
312,"[nan, nan, nan]"
313,"[nan, nan, nan]"
314,"[nan, nan, nan]"
315,"[15242505.409154428, 5156395.386506535, 21233917.751876734]"
316,"[7337496.232449032, -16740623.754082624, -19124272.4531843]"
317,"[nan, nan, nan]"
318,"[nan, nan, nan]"
319,"[nan, nan, nan]"
320,"[nan, nan, nan]"
321,"[-3240972.6702452535, 22919548.331534907, -12722592.819705982]"
322,"[19303178.022381328, 12870434.49724457, 13049010.94437971]"
323,"[11605898.591699885, 23362643.73236595, -2093314.5709711805]"
324,"[nan, nan, nan]"
325,"[8359943.331255707, -15668689.083312146, -19526231.423368968]"
326,"[nan, nan, nan]"
327,"[nan, nan, nan]"
328,"[25218096.909132168, -5075704.44145848, 6155143.172918959]"
329,"[nan, nan, nan]"
330,"[nan, nan, nan]"
331,"[-11165939.184115497, -14494936.342371916, 19304399.991376165]"
332,"[-128189.63054969907, 22139707.352863118, 14171945.802846462]"
333,"[nan, nan, nan]"
334,"[nan, nan, nan]"
335,"[nan, nan, nan]"
336,"[nan, nan, nan]"
337,"[nan, nan, nan]"
338,"[17196466.093287475, 2304534.908332902, 20181038.063768715]"
339,"[nan, nan, nan]"
