,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,403.06889158130497
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,-1996.1346341495664
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,-1732.3363824596909
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,2191.845960967188
123,
124,-1943.4058123662503
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,-80.80589605728821
135,
136,
137,
138,
139,
140,
141,15.380910751534355
142,
143,1927.9688580864574
144,-1830.7788267005326
145,
146,
147,138.60295356497622
148,
149,
150,-307.20788873056233
151,
152,
153,
154,
155,
156,
157,-924.4549251911857
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,1074.6299476955671
180,
181,
182,1668.9848110081637
183,
184,
185,
186,
187,
188,
189,
190,2370.3950176382555
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,1673.9979152256544
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,-169.36818957525682
256,
257,1839.4871062344218
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,288.7553385927298
274,
275,
276,
277,
278,
279,
280,
281,
282,-2741.575981140435
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,1160.849071682428
312,
313,
314,
315,-1643.5857090653762
316,1113.9928507368932
317,
318,
319,
320,
321,-617.8872810762782
322,-1671.9064894824037
323,-511.30183158917635
324,
325,987.2796453369008
326,
327,
328,795.8880759761032
329,
330,
331,2440.2175489241645
332,-1156.447186260745
333,
334,
335,
336,
337,
338,-1518.2255110621427
339,
